"jc2656" "jc2657" "jc2658" "jc2659"
2296 2977 6547 3151
1604 2156 4605 3654
49 59 32 22
1177 1723 4333 2965
176 140 316 173
5 7 34 20
91 75 199 50
46 55 88 85
71 31 78 36
1370 1829 4337 3054
848 998 2686 1325
832 938 2126 819
1977 2776 6158 4441
64 78 244 193
27 10 34 26
20 21 52 34
128 132 427 342
1408 2342 5542 4252
519 624 1680 1095
26 21 5 8
860 1415 3251 2677
68 118 60 29
1211 1904 4235 3478
1343 2011 4606 3016
47 36 22 11
1156 2022 4147 2993
540 646 1495 1039
931 1019 2343 1687
141 145 323 233
331 418 1118 771
33 36 126 90
184 202 476 223
2875 3595 6974 4425
1830 2335 5157 3779
1240 1900 3970 2541
118 138 82 72
1882 3053 5556 4577
33 31 86 36
1338 1793 3906 2716
766 1193 3043 2414
21 32 60 62
208 248 744 538
1799 2694 6121 4517
80 51 54 29
48 39 23 8
56 49 30 18
5 19 34 25
53 46 88 24
229 264 726 424
1141 1645 3346 2514
292 345 1085 367
337 223 693 385
38 62 99 76
183 246 713 507
1557 2022 4242 2727
1227 1983 4350 3607
170 210 502 320
81 110 157 110
2144 3251 7338 5752
1421 1934 3892 2807
70 62 197 126
251 374 866 541
700 869 2503 1602
1787 3006 6165 4646
83 38 16 19
1491 2262 5343 4031
54 62 172 106
31 28 66 45
1118 1997 4106 3492
1715 2225 4892 3124
35 50 133 74
1644 2791 5961 4716
325 289 707 414
65 58 21 26
1917 2364 5174 2943
35 37 94 68
59 48 132 36
30 14 74 28
94 41 96 33
302 332 746 353
264 389 937 574
1861 2415 5064 3562
1395 1847 3804 2327
140 129 63 41
1380 1738 3768 2255
37 9 24 21
67 56 178 65
72 80 219 152
80 70 208 130
41 30 81 25
1099 1478 3335 2400
1153 1421 3141 1731
788 1184 2618 2355
459 585 1334 868
152 159 330 207
1664 2412 5374 4195
17 22 34 21
74 29 43 31
615 409 1137 460
926 1209 2476 2105
433 405 908 590
1463 2401 4852 3942
83 44 151 60
1451 1712 3579 2693
660 726 1843 1196
58 41 20 9
1221 1982 4732 3891
80 63 27 31
777 814 1676 1146
86 123 256 219
328 417 922 832
946 1203 2318 1504
148 207 513 371
157 213 370 217
749 1041 2356 1706
1893 2712 5500 4230
200 192 384 186
434 596 1398 815
353 375 1028 860
724 925 1668 1249
1311 1945 4490 3217
306 417 1151 710
163 250 467 532
579 713 1717 847
406 691 1627 1226
1123 1346 3322 1743
47 38 39 17
10 27 14 25
171 205 147 101
1819 2892 5372 4425
26 32 87 64
2300 2926 6713 4092
50 49 106 84
2840 5156 10794 8704
473 659 445 274
41 31 19 15
1317 1859 3548 2663
93 88 66 27
1038 1384 2697 2119
65 57 29 25
853 975 2488 1485
2893 4176 8328 6597
2094 2709 5517 3766
210 325 598 464
62 49 156 122
30 31 109 44
79 53 32 18
1032 1195 2820 2187
144 117 363 243
97 81 232 157
143 98 216 119
874 1208 2654 1375
1333 1566 4521 2224
44 42 34 9
2143 3726 7499 5907
201 165 249 138
872 1253 1960 1505
294 341 933 619
152 130 243 105
26 31 14 5
95 83 192 121
1007 1264 2431 1686
597 621 335 228
292 292 187 120
59 49 41 32
1765 2491 4504 3189
1637 1684 3296 1821
35 22 21 4
186 257 420 431
36 35 101 49
18 18 48 52
896 1053 2663 1326
1295 1929 4541 3827
44 43 36 23
